,company.type,company.value,owner.type,owner.value
0,uri,http://www.wikidata.org/entity/Q96143187,uri,http://www.wikidata.org/entity/Q6947269
1,uri,http://www.wikidata.org/entity/Q105718861,uri,http://www.wikidata.org/entity/Q177747
2,uri,http://www.wikidata.org/entity/Q112742112,uri,http://www.wikidata.org/entity/Q12699278
3,uri,http://www.wikidata.org/entity/Q111086347,uri,http://www.wikidata.org/entity/Q111077449
4,uri,http://www.wikidata.org/entity/Q112621725,uri,http://www.wikidata.org/entity/Q112621539
5,uri,http://www.wikidata.org/entity/Q1319117,uri,http://www.wikidata.org/entity/Q406643
6,uri,http://www.wikidata.org/entity/Q1376644,uri,http://www.wikidata.org/entity/Q406643
7,uri,http://www.wikidata.org/entity/Q1705610,uri,http://www.wikidata.org/entity/Q177747
8,uri,http://www.wikidata.org/entity/Q2014866,uri,http://www.wikidata.org/entity/Q177747
9,uri,http://www.wikidata.org/entity/Q4263238,uri,http://www.wikidata.org/entity/Q177747
10,uri,http://www.wikidata.org/entity/Q4262856,uri,http://www.wikidata.org/entity/Q822202
11,uri,http://www.wikidata.org/entity/Q5961553,uri,http://www.wikidata.org/entity/Q1640639
12,uri,http://www.wikidata.org/entity/Q6502903,uri,http://www.wikidata.org/entity/Q683146
13,uri,http://www.wikidata.org/entity/Q24702730,uri,http://www.wikidata.org/entity/Q822202
